Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Team,Year,PlayerID
1,Kohei Arihara,31,10,5,0.667,2.53,18,NA,NA,2,1,0,124.2,92,40,35,9,29,0,90,5,0,1,486,0.971,6.6,0.6,2.1,6.5,3.1,Fukuoka Softbank Hawks,2023,arihar000koh
2,Kouya Fujii,27,2,0,1,2.12,34,NA,NA,0,0,1,34,23,8,8,2,17,0,39,1,0,2,143,1.176,6.1,0.5,4.5,10.3,2.29,Fukuoka Softbank Hawks,2023,fujii-000koy
3,Takehiro Hasegawa*,24,4,0,1,2.84,22,NA,NA,0,0,0,19,16,6,6,0,10,3,14,0,0,0,84,1.368,7.6,0,4.7,6.6,1.4,Fukuoka Softbank Hawks,2023,hasega001tak
4,Darwinzon Hernández*,27,3,2,0.6,3,33,NA,NA,0,0,0,33,24,12,11,1,11,1,54,6,0,1,139,1.061,6.5,0.3,3,14.7,4.91,Fukuoka Softbank Hawks,2023,hernan002dar
5,Nao Higashihama,34,3,2,0.6,3.12,10,NA,NA,0,0,0,52,49,19,18,6,10,1,33,1,0,0,215,1.135,8.5,1,1.7,5.7,3.3,Fukuoka Softbank Hawks,2023,higash001nao
6,Shuta Ishikawa,32,3,2,0.6,2.8,10,NA,NA,0,0,0,35.1,23,11,11,2,7,0,30,3,0,2,136,0.849,5.9,0.5,1.8,7.6,4.29,Fukuoka Softbank Hawks,2023,ishika000syu
7,Shunsuke Iwai,22,0,0,NA,0,3,NA,NA,0,0,0,3,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,12,NA,Fukuoka Softbank Hawks,2023,iwai--000shu
8,Katsuki Matayoshi,33,0,1,0,2.59,29,NA,NA,0,0,0,31.1,23,9,9,1,5,1,17,2,0,0,119,0.894,6.6,0.3,1.4,4.9,3.4,Fukuoka Softbank Hawks,2023,matayo000kat
9,Yuki Matsumoto,28,2,1,0.667,2.34,44,NA,NA,0,0,10,42.1,32,13,11,3,10,3,41,4,0,0,173,0.992,6.8,0.6,2.1,8.7,4.1,Fukuoka Softbank Hawks,2023,matsum003yuk
10,Mizuki Miura*,24,0,0,NA,0,2,NA,NA,0,0,0,2,1,0,0,0,1,0,1,0,0,0,7,1,4.5,0,4.5,4.5,1,Fukuoka Softbank Hawks,2023,miura-000miz
11,Liván Moinelo*,28,9,3,0.75,1.5,19,NA,NA,2,0,0,132,81,27,22,7,33,1,127,3,0,2,506,0.864,5.5,0.5,2.3,8.7,3.85,Fukuoka Softbank Hawks,2023,moinel000liv
12,Kenichi Murata,22,0,0,NA,18,1,NA,NA,0,0,0,1,2,2,2,1,0,0,0,0,0,0,5,2,18,9,0,0,NA,Fukuoka Softbank Hawks,2023,murata000ken
13,Ryota Nakamura,26,0,0,NA,18,1,NA,NA,0,0,0,1,3,2,2,2,0,0,1,0,0,0,6,3,27,18,0,9,NA,Fukuoka Softbank Hawks,2023,nakamu001ryo
14,Shuto Ogata,25,0,0,NA,9,3,NA,NA,0,0,0,3,4,3,3,0,3,0,3,0,1,0,15,2.333,12,0,9,9,1,Fukuoka Softbank Hawks,2023,ogata-000shu
15,Ryosuke Ohtsu,25,6,7,0.462,3.13,16,NA,NA,0,0,0,100.2,89,35,35,11,18,1,83,1,1,1,398,1.063,8,1,1.6,7.4,4.61,Fukuoka Softbank Hawks,2023,ohtsu-001ryo
16,Ryo Ohyama,22,0,0,NA,2.04,8,NA,NA,0,0,0,17.2,12,4,4,1,7,0,13,2,0,1,71,1.075,6.1,0.5,3.6,6.6,1.86,Fukuoka Softbank Hawks,2023,ohyama000ryo
17,Tomohisa Ohzeki*,26,7,2,0.778,2.55,15,NA,NA,0,0,0,91.2,66,26,26,9,21,0,63,6,0,0,362,0.949,6.5,0.9,2.1,6.2,3,Fukuoka Softbank Hawks,2023,ohzeki000tom
18,Roberto Osuna,29,0,2,0,3.99,30,NA,NA,0,0,20,29.1,27,13,13,3,10,0,15,1,0,0,121,1.261,8.3,0.9,3.1,4.6,1.5,Fukuoka Softbank Hawks,2023,osuna-002rob
19,Ryotaro Sawayanagi,24,2,1,0.667,3.38,11,NA,NA,0,0,0,10.2,7,4,4,0,4,0,9,1,0,1,42,1.031,5.9,0,3.4,7.6,2.25,Fukuoka Softbank Hawks,2023,sawaya000ryo
20,Carter Stewart,24,7,2,0.778,1.94,14,NA,NA,0,0,0,83.1,59,21,18,5,34,0,79,4,0,1,341,1.116,6.4,0.5,3.7,8.5,2.32,Fukuoka Softbank Hawks,2023,stewar004car
21,Kazuki Sugiyama,26,3,0,1,2.2,32,NA,NA,0,0,0,32.2,22,8,8,2,16,0,39,1,0,1,133,1.163,6.1,0.6,4.4,10.7,2.44,Fukuoka Softbank Hawks,2023,sugiya000kaz
22,Yuki Tsumori,26,4,2,0.667,2.04,40,NA,NA,0,0,0,35.1,24,8,8,1,16,2,33,4,0,1,146,1.132,6.1,0.3,4.1,8.4,2.06,Fukuoka Softbank Hawks,2023,tsumor000yuk
23,Tsuyoshi Wada*,43,2,2,0.5,4.01,5,NA,NA,0,0,0,24.2,27,12,11,2,3,0,18,2,0,0,102,1.216,9.9,0.7,1.1,6.6,6,Fukuoka Softbank Hawks,2023,wada--001tsu
