Year,Team,PlayerID,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2023,Chiba Lotte Marines,brosse000mik,1,Mike Brosseau,29,37,147,136,9,26,10,0,1,11,0,0,2,30,0.191,0.218,0.287,0.505,39,1,4,0,5,0
2023,Chiba Lotte Marines,castil014lui,2,Luis Castillo,28,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,chatan000ken,3,Kenta Chatani,25,79,187,169,18,48,6,1,0,9,2,0,11,26,0.284,0.333,0.331,0.665,56,2,2,4,1,0
2023,Chiba Lotte Marines,crisos000chr,4,Cristopher Crisostomo*,29,22,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2023,Chiba Lotte Marines,emura-000nao,5,Naoya Emura,31,4,10,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
2023,Chiba Lotte Marines,fujiok000yud,6,Yudai Fujioka*,29,93,380,310,34,86,20,0,1,22,7,2,54,66,0.277,0.389,0.352,0.741,109,4,4,10,2,1
2023,Chiba Lotte Marines,fujiwa000kyo,7,Kyota Fujiwara*,23,103,361,328,35,78,15,2,3,21,5,2,18,78,0.238,0.285,0.323,0.608,106,3,4,10,1,0
2023,Chiba Lotte Marines,fukuda001shu,8,Shuhei Fukuda*,34,3,9,8,0,2,0,0,0,0,1,0,1,3,0.25,0.333,0.25,0.583,2,0,0,0,0,0
2023,Chiba Lotte Marines,hirasa000tai,9,Taiga Hirasawa*,25,57,170,135,19,23,1,0,3,8,3,1,25,43,0.17,0.311,0.244,0.555,33,4,3,6,1,0
2023,Chiba Lotte Marines,ikeda-000rai,10,Raito Ikeda,23,40,118,104,17,28,6,1,2,8,0,0,6,17,0.269,0.327,0.404,0.731,42,1,3,5,0,0
2023,Chiba Lotte Marines,inoue-000sei,11,Seiya Inoue,33,32,106,95,3,17,6,0,1,8,1,0,9,24,0.179,0.255,0.274,0.528,26,2,1,0,1,0
