Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2013,Yokohama Bay Stars,SS,kajita001tak,Takayuki Kajitani,62,NA,91,167,10,36,0.963,4.16
2013,Yokohama Bay Stars,SS,yamaza001nor,Noriharu Yamazaki,44,NA,58,124,1,25,0.995,4.14
2013,Yokohama Bay Stars,SS,ishika001tak,Takehiro Ishikawa,40,NA,58,124,8,20,0.958,4.55
2013,Yokohama Bay Stars,SS,shiras000hir,Hiroyuki Shirasaki,9,NA,7,14,0,2,1,2.33
2013,Yokohama Bay Stars,SS,uchimu001ken,Kensuke Uchimura,2,NA,0,1,1,1,0.5,0.5
