Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G,PB,SB,CS,CS%
2012,Fukuoka Softbank Hawks,C,hosoka001too,Toru Hosokawa,92,NA,495,55,5,3,0.991,5.98,3,NA,NA,NA
2012,Fukuoka Softbank Hawks,C,yamaza001kat,Katsuki Yamazaki,85,NA,252,19,0,3,1,3.19,2,NA,NA,NA
2012,Fukuoka Softbank Hawks,C,takaya001hir,Hiroaki Takaya,61,NA,267,24,3,3,0.99,4.77,3,NA,NA,NA
2012,Fukuoka Softbank Hawks,C,tanoue001hid,Hidenori Tanoue,1,NA,6,0,0,0,1,6,0,NA,NA,NA
