Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G,PB,SB,CS,CS%
2007,Fukuoka Softbank Hawks,C,yamaza001kat,Katsuki Yamazaki,99,NA,533,34,10,2,0.983,5.73,0,NA,NA,NA
2007,Fukuoka Softbank Hawks,C,tanoue001hid,Hidenori Tanoue,78,NA,365,27,2,7,0.995,5.03,5,NA,NA,NA
2007,Fukuoka Softbank Hawks,C,matoba001nao,Naoki Matoba,33,NA,135,7,2,0,0.986,4.3,1,NA,NA,NA
2007,Fukuoka Softbank Hawks,C,takaya001hir,Hiroaki Takaya,11,NA,65,2,1,0,0.985,6.09,1,NA,NA,NA
2007,Fukuoka Softbank Hawks,C,ohno--001ryu,Ryuji Ono,2,NA,3,0,0,0,1,1.5,1,NA,NA,NA
