Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G,PB,SB,CS,CS%
2012,Tohoku Rakuten Golden Eagles,C,shima-001mot,Motohiro Shima,88,NA,573,44,2,4,0.997,7.01,1,NA,NA,NA
2012,Tohoku Rakuten Golden Eagles,C,okajim000tak,Takero Okajima,36,NA,197,17,1,0,0.995,5.94,3,NA,NA,NA
2012,Tohoku Rakuten Golden Eagles,C,oyama-001kei,Keiji Oyama,22,NA,135,12,2,3,0.987,6.68,0,NA,NA,NA
2012,Tohoku Rakuten Golden Eagles,C,ishimi001tad,Tadashi Ishimine,11,NA,53,3,0,0,1,5.09,0,NA,NA,NA
