Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G,PB,SB,CS,CS%
2011,Fukuoka Softbank Hawks,C,hosoka001too,Toru Hosokawa,95,NA,577,36,0,5,1,6.45,3,NA,NA,NA
2011,Fukuoka Softbank Hawks,C,yamaza001kat,Katsuki Yamazaki,86,NA,468,33,6,2,0.988,5.83,0,NA,NA,NA
2011,Fukuoka Softbank Hawks,C,takaya001hir,Hiroaki Takaya,12,NA,17,1,0,0,1,1.5,0,NA,NA,NA
2011,Fukuoka Softbank Hawks,C,tanoue001hid,Hidenori Tanoue,11,NA,57,5,0,0,1,5.64,0,NA,NA,NA
2011,Fukuoka Softbank Hawks,C,shimiz001mas,Masaumi Shimizu,3,NA,4,1,0,0,1,1.67,0,NA,NA,NA
