Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2010,Chunichi Dragons,SS,araki-001mas,Masahiro Araki,134,NA,226,383,20,69,0.968,4.54
2010,Chunichi Dragons,SS,iwasak001tat,Tatsuro Iwasaki,15,NA,8,21,1,7,0.967,1.93
2010,Chunichi Dragons,SS,ibata-001hir,Hirokazu Ibata,8,NA,15,18,2,1,0.943,4.13
