Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
2008,Tohoku Rakuten Golden Eagles,SS,watana001nao,Naoto Watanabe,131,NA,186,360,16,62,0.972,4.17
2008,Tohoku Rakuten Golden Eagles,SS,shioka001tat,Tatsuya Shiokawa,9,NA,6,20,0,4,1,2.89
2008,Tohoku Rakuten Golden Eagles,SS,uchimu001ken,Kensuke Uchimura,9,NA,10,7,2,2,0.895,1.89
2008,Tohoku Rakuten Golden Eagles,SS,okihar001yos,Yoshinori Okihara,5,NA,3,11,0,2,1,2.8
2008,Tohoku Rakuten Golden Eagles,SS,nishim001wat,Wataru Nishimura,3,NA,3,10,0,1,1,4.33
2008,Tohoku Rakuten Golden Eagles,SS,kusano001dai,Daisuke Kusano,1,NA,0,0,0,0,NA,0
