Name,G,Inn,PO,A,E,DP,Fld%,RF/G,Team,Year,PlayerID,position
Akira Nakamura,128,NA,959,55,2,56,0.998,7.92,Fukuoka Softbank Hawks,2023,nakamu000aki,1B
Hikaru Kawase,15,NA,29,2,0,6,1,2.07,Fukuoka Softbank Hawks,2023,kawase000hik,1B
Daiju Nomura,14,NA,74,9,0,7,1,5.93,Fukuoka Softbank Hawks,2023,nomura000dai,1B
Willians Astudillo,10,NA,57,5,1,7,0.984,6.2,Fukuoka Softbank Hawks,2023,astudi001wil,1B
Tomoya Inoue,3,NA,13,1,0,2,1,4.67,Fukuoka Softbank Hawks,2023,inoue-000tom,1B
Richard Sunagawa,3,NA,14,0,0,0,1,4.67,Fukuoka Softbank Hawks,2023,sunaga000ric,1B
Masaki Mimori,2,NA,3,0,0,0,1,1.5,Fukuoka Softbank Hawks,2023,mimori000mas,1B
Shu Masuda,1,NA,6,1,0,1,1,7,Fukuoka Softbank Hawks,2023,masuda000shu,1B
