Year,Team,PlayerID,Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2023,Hokkaido Nippon Ham Fighters,fukuda000sug,1,Suguru Fukuda*,26,1,0,1,0,29,NA,NA,0,0,0,26.1,11,0,0,0,10,0,19,2,0,4,100,0.797,3.8,0,3.4,6.5,1.9
2023,Hokkaido Nippon Ham Fighters,hasega001tak,2,Takehiro Hasegawa*,23,0,0,NA,1.08,9,NA,NA,0,0,0,8.1,8,1,1,0,3,0,5,1,0,0,35,1.32,8.6,0,3.2,5.4,1.67
2023,Hokkaido Nippon Ham Fighters,hori--000miz,3,Mizuki Hori*,25,1,0,1,9,5,NA,NA,0,0,0,4,9,4,4,3,1,0,3,0,0,0,21,2.5,20.3,6.8,2.3,6.8,3
2023,Hokkaido Nippon Ham Fighters,iguchi000kaz,4,Kazutomo Iguchi,29,0,0,NA,5.4,5,NA,NA,0,0,0,5,6,3,3,0,3,0,2,0,0,1,23,1.8,10.8,0,5.4,3.6,0.67
2023,Hokkaido Nippon Ham Fighters,ikeda-000tak,5,Takahide Ikeda,28,1,5,0.167,2.86,51,NA,NA,0,0,0,50.1,33,18,16,5,12,0,45,2,0,1,195,0.894,5.9,0.9,2.1,8,3.75
2023,Hokkaido Nippon Ham Fighters,ishika000nao,6,Naoya Ishikawa,26,0,0,NA,5.87,16,NA,NA,0,0,1,15.1,17,10,10,1,4,0,12,1,0,3,67,1.37,10,0.6,2.3,7,3
2023,Hokkaido Nippon Ham Fighters,itoh--002hir,7,Hiromi Itoh,25,7,10,0.412,3.46,24,NA,NA,3,1,0,153.1,147,64,59,11,41,0,134,8,0,2,649,1.226,8.6,0.6,2.4,7.9,3.27
2023,Hokkaido Nippon Ham Fighters,kanemu000sho,8,Shoma Kanemura,22,2,1,0.667,1.8,4,NA,NA,0,0,0,25,18,7,5,0,5,0,23,0,0,2,97,0.92,6.5,0,1.8,8.3,4.6
2023,Hokkaido Nippon Ham Fighters,kato--007tak,9,Takayuki Katoh*,31,7,9,0.438,2.87,24,NA,NA,3,1,0,163.1,162,59,52,14,16,2,83,1,1,2,648,1.09,8.9,0.8,0.9,4.6,5.19
2023,Hokkaido Nippon Ham Fighters,kawano000ryu,10,Ryusei Kawano*,25,1,4,0.2,1.7,50,NA,NA,0,0,0,42.1,30,9,8,1,9,0,35,3,0,0,164,0.921,6.4,0.2,1.9,7.4,3.89
2023,Hokkaido Nippon Ham Fighters,kitaur000ryu,11,Ryuji Kitaura*,23,0,0,NA,3.09,12,NA,NA,0,0,0,11.2,12,4,4,1,2,0,11,0,0,0,47,1.2,9.3,0.8,1.5,8.5,5.5
2023,Hokkaido Nippon Ham Fighters,kitaya000kok,12,Koki Kitayama,24,6,5,0.545,3.41,14,NA,NA,0,0,0,66,49,26,25,9,34,1,58,0,2,1,273,1.258,6.7,1.2,4.6,7.9,1.71
2023,Hokkaido Nippon Ham Fighters,marvel000jam,13,James Marvel,29,2,2,0.5,2.49,8,NA,NA,0,0,0,21.2,21,9,6,1,9,0,12,1,0,0,93,1.385,8.7,0.4,3.7,5,1.33
2023,Hokkaido Nippon Ham Fighters,menez-000con,14,Conner Menez*,28,0,2,0,3.16,12,NA,NA,0,0,0,25.2,24,13,9,1,14,0,19,2,0,1,116,1.481,8.4,0.4,4.9,6.7,1.36
