year,team,playerID,name,age,win,lose,WL,ERA,game,starter,closer,complete,shutout,save,outs,hit,run,ER,HR,BB,IBB,K,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,K9,KBB
1951,Taiyo Whales,watana000sei,Seitaro Watanabe,29,1,0,1,5.25,9,0,5,0,0,-99999,72,28,18,14,3,16,-99999,5,0,0,1,114,1.833,10.5,1.1,6,1.9,0.31
1951,Tokyu Flyers,itoh--000mak,Makizo Ito*,20,1,2,0.333,6.8,17,4,7,0,0,-99999,127.00000000000001,54,37,32,1,27,-99999,13,0,6,3,207,1.913,11.5,0.2,5.7,2.8,0.48
1951,Tokyu Flyers,kimura000tom,Tomio Kimura,19,0,0,-99999,11.25,2,1,0,0,0,-99999,12,7,6,5,0,5,-99999,0,0,0,0,22,3,15.8,0,11.3,0,0
1951,Tokyu Flyers,kinjo-000mas,Masao Kinjo,25,0,1,0,22.5,4,1,0,0,0,-99999,12,7,10,10,1,9,-99999,1,1,0,0,28,4,15.8,2.3,20.3,2.3,0.11
1951,Tokyu Flyers,kuwana000shi,Shigeharu Kuwana,29,3,4,0.429,3.68,22,7,12,0,0,-99999,198,74,37,27,3,16,-99999,21,0,1,1,288,1.364,10.1,0.4,2.2,2.9,1.31
1951,Tokyu Flyers,miyaza000sum,Sumiya Miyazawa*,25,2,8,0.2,4.18,26,10,9,1,0,-99999,252,88,55,39,3,34,-99999,33,3,0,4,380,1.452,9.4,0.3,3.6,3.5,0.97
1951,Tokyu Flyers,nozaki000hir,Hirokazu Nozaki,27,0,2,0,8.8,5,3,1,0,0,-99999,46,25,17,15,2,7,-99999,3,1,2,0,79,2.087,14.7,1.2,4.1,1.8,0.43
1951,Tokyu Flyers,shirak000gii,Giichiro Shiraki,31,4,10,0.286,4.07,18,17,1,7,0,-99999,338,140,73,51,12,19,-99999,21,1,1,0,495,1.411,11.2,1,1.5,1.7,1.11
1951,Tokyu Flyers,tarui-000kat,Seiichi Tarui,22,4,9,0.308,3.47,28,12,15,3,0,-99999,411.99999999999994,129,62,53,7,25,-99999,35,2,4,2,563,1.121,8.5,0.5,1.6,2.3,1.4
1951,Tokyu Flyers,teraka000sho,Shoji Terakawa,21,5,8,0.385,3.57,31,15,8,4,2,-99999,408,129,68,54,3,50,-99999,56,2,1,0,583,1.316,8.5,0.2,3.3,3.7,1.12
1951,Tokyu Flyers,yoneka000yas,Yasuo Yonekawa,23,19,12,0.613,2.35,40,32,7,27,1,-99999,883.9999999999999,248,94,77,17,67,-99999,135,6,2,0,1173,1.069,7.6,0.5,2,4.1,2.01
1951,Yomiuri Giants,bessho000tak,Takehiko Bessho,28,21,9,0.7,2.45,47,30,15,25,4,-99999,904.0000000000002,252,112,82,15,88,-99999,131,1,0,3,1222,1.128,7.5,0.4,2.6,3.9,1.49
1951,Yomiuri Giants,fujimo000hid,Hideo Fujimoto,33,15,7,0.682,3.14,31,25,4,16,3,-99999,619,189,89,72,7,41,-99999,88,3,1,1,822,1.115,8.2,0.3,1.8,3.8,2.15
1951,Yomiuri Giants,kaneyo000hir,Hiroshi Kaneyoshi*,18,0,0,-99999,3.86,12,0,10,0,0,-99999,84,22,14,12,1,18,-99999,12,1,0,0,120,1.429,7.1,0.3,5.8,3.9,0.67
1951,Yomiuri Giants,matsud000kiy,Kiyoshi Matsuda*,20,23,3,0.885,2.02,34,28,4,15,4,-99999,682.9999999999999,186,61,51,5,64,-99999,93,5,2,3,896,1.098,7.4,0.2,2.5,3.7,1.45
1951,Yomiuri Giants,nakao-000hir,Hiroshi Nakao*,31,9,6,0.6,3.04,29,16,9,4,0,-99999,390.99999999999994,124,56,44,8,37,-99999,60,0,2,0,541,1.235,8.6,0.6,2.6,4.1,1.62
