id,game,PA,AB,run,hit,single,double,triple,HR,RBI,steal,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
kadota000fum,197,157,143,7,14,11,3,0,0,4,0,0,3,51,0.0979020979020979,0.11464968152866242,0.11888111888111888,0.2335308004097813,17,1,1,10,0,0
kadota000hir,2571,10304,8868,1319,2566,1597,383,19,567,1678,51,35,1273,1520,0.2893549842129003,0.3821138211382114,0.5286423094271538,0.9107561305653653,4688,164,62,6,95,182
kadota000ryo,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kadota000sum,18,7,7,0,1,1,0,0,0,1,0,0,0,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1,0,0,0,0,0
kadowa000mak,126,348,316,34,83,67,12,1,3,21,11,5,18,58,0.2626582278481013,0.29022988505747127,0.33544303797468356,0.6256729230321548,106,4,0,14,0,3
kaga--001shi,102,66,58,1,6,6,0,0,0,0,0,0,1,25,0.10344827586206896,0.10606060606060606,0.10344827586206896,0.20950888192267503,6,0,0,7,0,0
kagami000kis,24,36,33,2,5,4,1,0,0,0,0,0,1,9,0.15151515151515152,0.16666666666666666,0.18181818181818182,0.3484848484848485,6,1,0,2,0,0
kagawa000hid,69,74,72,0,6,5,1,0,0,0,0,0,1,14,0.08333333333333333,0.0945945945945946,0.09722222222222222,0.19181681681681684,7,0,0,1,NA,NA
kagawa000nob,714,1966,1807,173,460,324,57,1,78,270,8,11,108,292,0.2545655783065855,0.2963152507676561,0.41671278361925845,0.7130280343869145,753,59,11,28,12,4
kagawa000tad,81,136,121,6,22,20,2,0,0,5,2,2,14,24,0.18181818181818182,0.2647058823529412,0.19834710743801653,0.4630529897909577,24,7,0,1,0,NA
kageya000kaz,1044,3949,3334,592,881,630,132,66,53,302,214,75,535,500,0.264247150569886,0.3615833544785587,0.39112177564487105,0.7527051301234298,1304,24,9,63,NA,NA
kagita000koj,346,632,537,50,133,117,11,5,0,29,6,11,51,79,0.24767225325884543,0.2968253968253968,0.28677839851024206,0.5836037953356389,154,5,3,39,2,0
kagiya000yoh,145,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
kai---000iku,13,21,20,2,4,4,0,0,0,0,0,0,1,5,0.2,0.23809523809523808,0.2,0.4380952380952381,4,0,0,0,0,0
kai---000kaz,176,321,294,38,57,42,10,2,3,17,16,8,15,55,0.19387755102040816,0.2375,0.272108843537415,0.509608843537415,80,4,4,7,1,0
kai---000tak,1032,3150,2610,271,557,391,101,7,58,274,27,21,297,774,0.21340996168582377,0.2788400254939452,0.32413793103448274,0.6029779565284279,846,54,21,210,12,1
kai---000tom,161,481,457,37,138,113,16,1,8,63,6,9,21,24,0.30196936542669583,0.33471933471933474,0.3938730853391685,0.7285924200585032,180,14,2,1,NA,NA
kai---001mas,13,26,26,1,3,3,0,0,0,0,0,0,0,8,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078,3,0,0,0,0,0
kaifu-000kaz,8,14,12,1,1,1,0,0,0,0,0,0,1,2,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.22619047619047616,1,0,0,1,NA,NA
kaizuk001mas,333,874,800,82,214,149,46,2,17,117,13,3,63,175,0.2675,0.32105868814729577,0.39375,0.7148086881472957,315,16,2,4,5,4
kajima000ken,431,510,409,34,73,67,4,2,0,25,1,1,27,148,0.1784841075794621,0.1992110453648915,0.1980440097799511,0.3972550551448426,81,1,1,70,3,0
kajima001ryu,109,130,119,5,25,20,3,0,2,10,2,2,6,30,0.21008403361344538,0.24031007751937986,0.2857142857142857,0.5260243632336655,34,1,0,4,1,0
kajimo000tak,934,1596,1466,102,299,242,41,3,13,130,0,2,82,293,0.20395634379263303,0.24433249370277077,0.2626193724420191,0.5069518661447898,385,32,7,33,8,NA
kajimo000yas,46,14,13,2,1,1,0,0,0,0,0,0,0,5,0.07692307692307693,0.07142857142857142,0.07692307692307693,0.14835164835164835,1,0,0,1,0,0
kajimo001yus,147,289,267,21,53,44,6,3,0,12,6,5,11,71,0.19850187265917604,0.22377622377622378,0.24344569288389514,0.4672219166601189,65,0,0,8,3,0
kajiok000tad,193,449,411,51,91,67,14,2,8,43,4,1,27,32,0.22141119221411193,0.26339285714285715,0.3236009732360097,0.5869938303788669,133,14,0,10,NA,NA
kajita001tak,1058,4068,3617,557,977,635,191,26,125,439,162,64,385,879,0.2701133536079624,0.34212472270150357,0.4409731821951894,0.783097904896693,1595,48,26,29,11,12
kajiwa000kou,27,69,68,3,16,12,2,1,1,4,1,1,1,27,0.23529411764705882,0.2463768115942029,0.3382352941176471,0.58461210571185,23,1,0,0,0,0
kajiwa000mun,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
kajiwa001koj,4,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kakefu000mas,1625,6574,5673,892,1656,1026,250,31,349,1019,49,38,819,897,0.2919090428344791,0.3836959852896108,0.5314648334214701,0.9151608187110809,3015,124,29,5,48,74
kakeha000mit,307,295,252,18,40,26,11,0,3,16,0,0,19,86,0.15873015873015872,0.20748299319727892,0.23809523809523808,0.445578231292517,60,5,2,21,1,0
kakei-001yuj,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kakimo000min,305,470,422,15,58,45,11,0,2,14,1,1,15,129,0.13744075829383887,0.1574468085106383,0.17772511848341233,0.33517192699405063,75,6,1,32,0,0
kakinu000tom,195,340,268,17,39,35,2,0,2,17,0,1,18,75,0.1455223880597015,0.19411764705882353,0.17537313432835822,0.3694907813871817,47,8,9,45,0,0
kakiuc001tet,917,2557,2248,297,510,294,95,11,110,315,36,14,254,698,0.22686832740213522,0.3109012199921291,0.42571174377224197,0.736612963764371,957,37,26,13,16,9
kakiza000yuk,46,3,3,7,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
kako--000yas,2,2,2,1,1,0,1,0,0,0,0,0,0,1,0.5,0.5,1,1.5,2,0,0,0,0,0
kaku--000gen,499,631,565,36,82,66,14,0,2,33,1,1,10,176,0.14513274336283186,0.1467304625199362,0.18053097345132743,0.32726143597126367,102,5,0,52,4,0
kaku--000ken,19,15,13,0,2,0,1,1,0,3,0,0,1,5,0.15384615384615385,0.2,0.38461538461538464,0.5846153846153846,5,0,0,1,0,0
kakuna001kat,1393,5259,4566,543,1284,940,238,40,66,539,66,28,557,702,0.2812089356110381,0.3625383435582822,0.39421813403416556,0.7567564775924478,1800,75,50,43,43,20
kakura000kaz,68,51,48,6,6,5,0,1,0,2,0,0,2,11,0.125,0.17647058823529413,0.16666666666666666,0.3431372549019608,8,3,1,0,0,0
kakura000min,443,850,766,95,140,91,25,7,17,77,28,8,57,199,0.18276762402088773,0.24289099526066352,0.3002610966057441,0.5431520918664077,230,10,8,13,6,NA
kamada001yuy,125,86,75,2,7,6,1,0,0,5,0,0,3,40,0.09333333333333334,0.11627906976744186,0.10666666666666667,0.22294573643410853,8,1,0,8,0,0
kamaku001ken,26,8,7,0,2,2,0,0,0,0,0,0,0,5,0.2857142857142857,0.25,0.2857142857142857,0.5357142857142857,2,0,0,1,0,0
kamamo000go-,145,235,216,29,48,39,3,1,5,16,16,3,15,70,0.2222222222222222,0.2680851063829787,0.3148148148148148,0.5828999211977935,68,3,0,4,0,0
kamamo000kat,22,22,22,1,5,4,1,0,0,1,0,0,0,3,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.5,6,0,0,0,NA,NA
kamata000min,1482,4743,4451,403,1041,851,133,33,24,264,84,59,153,360,0.23388002696023366,0.2555532049925957,0.29476522129858457,0.5503184262911802,1312,66,14,109,16,11
kamata000yos,52,15,15,1,2,0,2,0,0,1,0,0,0,7,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.4,4,1,0,0,0,0
kamata000yut,117,158,146,25,25,21,0,1,3,9,7,1,9,51,0.17123287671232876,0.21656050955414013,0.2465753424657534,0.46313585201989355,36,0,0,2,1,0
kamata001kei,15,3,3,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
kameda000nob,33,36,36,0,6,6,0,0,0,2,0,0,0,7,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,6,0,0,0,0,0
kamei-001yos,1413,4576,4157,493,1069,706,245,17,101,462,61,24,314,698,0.2571566033197017,0.3100792253521127,0.3971614144815973,0.70724063983371,1651,70,26,47,32,15
kameya000tsu,377,1248,1100,142,291,225,38,14,14,72,27,22,115,243,0.26454545454545453,0.3293172690763052,0.36272727272727273,0.6920445418035779,399,24,4,26,3,4
kameza000kyo,421,1058,941,101,249,225,17,5,2,40,25,23,54,120,0.26461211477151964,0.29316888045540795,0.29968119022316686,0.5928500706785749,282,9,6,53,4,2
kamiba000sei,10,7,7,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0
kamich000tai,103,106,90,6,15,15,0,0,0,5,0,0,3,39,0.16666666666666666,0.16981132075471697,0.16666666666666666,0.33647798742138363,15,1,0,13,0,0
kamido000kat,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kamiga000mas,89,101,95,22,22,16,4,1,1,10,2,1,3,20,0.23157894736842105,0.25742574257425743,0.3263157894736842,0.5837415320479417,31,2,1,2,0,0
kamigo000mak,667,1580,1429,145,328,253,45,6,24,108,34,27,80,233,0.22953114065780267,0.26670910248249524,0.3198040587823653,0.5865131612648605,457,40,11,51,9,2
kamiic000aki,298,715,657,63,125,87,29,1,8,44,7,5,40,134,0.1902587519025875,0.23949579831932774,0.273972602739726,0.5134684010590538,180,11,6,11,NA,NA
kamijo000tak,135,209,194,19,33,26,5,1,1,12,5,2,7,42,0.17010309278350516,0.1941747572815534,0.22164948453608246,0.4158242418176359,43,5,0,5,3,1
kamika000dai,188,647,554,38,138,121,12,3,2,35,11,14,55,96,0.2490974729241877,0.3188854489164087,0.2924187725631769,0.6113042214795856,162,8,13,24,1,1
kamika000sei,1170,3500,3214,325,872,645,152,24,51,282,59,37,178,186,0.2713130056004978,0.30764807360552043,0.38114499066583696,0.6887930642713573,1225,54,20,66,22,37
kamisa001tai,243,639,569,67,141,109,19,6,7,37,15,7,49,76,0.2478031634446397,0.30141287284144425,0.3391915641476274,0.6406044369890717,193,6,2,17,2,0
kamiuc001yas,72,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
kamiya000eis,6,5,3,1,1,1,0,0,0,0,1,0,2,2,0.3333333333333333,0.6,0.3333333333333333,0.9333333333333333,1,0,0,0,NA,NA
kamiya000mas,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kamiya000sad,176,378,349,24,73,63,8,1,1,25,4,6,20,34,0.20916905444126074,0.248,0.24641833810888253,0.4944183381088825,86,9,0,6,NA,NA
kamiza000kaz,522,1199,1097,167,280,189,61,11,19,101,47,27,77,322,0.2552415679124886,0.3085284280936455,0.3828623518687329,0.6913907799623784,420,16,12,10,3,4
kamizu000hir,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
kamoga000kiy,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kamoga000shi,10,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kanagu000yos,30,17,16,4,3,1,2,0,0,1,0,0,1,4,0.1875,0.23529411764705882,0.3125,0.5477941176470589,5,0,0,0,0,0
kanai-000mas,63,9,8,0,2,2,0,0,0,0,0,0,0,3,0.25,0.3333333333333333,0.25,0.5833333333333333,2,0,1,0,0,0
kanai-000mit,74,157,140,14,24,20,3,1,0,6,3,3,10,23,0.17142857142857143,0.2229299363057325,0.20714285714285716,0.4300727934485896,29,1,1,6,NA,NA
kanai-000mot,16,20,17,2,4,4,0,0,0,0,0,0,1,4,0.23529411764705882,0.25,0.23529411764705882,0.4852941176470588,4,0,0,2,0,0
kanaku000yut,17,22,20,1,2,1,1,0,0,1,0,0,0,8,0.1,0.09090909090909091,0.15,0.2409090909090909,3,2,0,2,0,0
kanamo000eij,1048,2528,2159,249,583,434,104,18,27,239,11,11,226,222,0.270032422417786,0.3412793007548669,0.37239462714219546,0.7136739278970623,804,61,50,82,11,7
kanamo001tak,17,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
kanash000kaz,4,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
kanaya000jir,896,3954,3617,462,889,695,132,26,36,244,352,106,249,377,0.2457837987282278,0.29295489102889,0.32651368537461983,0.6194685764035098,1181,30,18,62,NA,NA
kanaya000kat,324,381,353,12,44,39,4,1,0,9,0,2,9,111,0.12464589235127478,0.13910761154855644,0.141643059490085,0.28075067103864143,50,2,0,19,NA,NA
kanaya002tak,316,531,462,47,92,64,8,1,19,48,1,2,48,127,0.19913419913419914,0.2693032015065913,0.34415584415584416,0.6134590456624355,159,8,3,18,0,6
kanaza000nob,4,8,7,2,1,1,0,0,0,0,0,0,1,2,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,1,0,0,0,0,0
kanaza000tsu,247,200,170,4,19,14,5,0,0,4,0,0,5,47,0.11176470588235295,0.12060301507537688,0.1411764705882353,0.2617794856636122,24,1,0,24,1,0
kanaza000yuk,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanaza001tak,109,22,21,0,2,2,0,0,0,0,0,0,0,12,0.09523809523809523,0.09090909090909091,0.09523809523809523,0.18614718614718614,2,0,0,1,0,0
kanaza002tak,177,375,330,29,76,61,13,1,1,27,1,0,24,93,0.23030303030303031,0.28225806451612906,0.28484848484848485,0.5671065493646139,94,3,5,13,3,0
kanbar000tak,28,22,22,4,7,4,3,0,0,0,0,0,0,5,0.3181818181818182,0.3181818181818182,0.45454545454545453,0.7727272727272727,10,0,0,0,0,0
kanbay000shi,140,391,362,36,81,66,9,2,4,32,7,1,24,49,0.22375690607734808,0.26854219948849106,0.292817679558011,0.5613598790465021,106,10,0,5,NA,NA
kanbe-000tos,266,350,301,15,47,40,5,0,2,24,0,0,28,84,0.15614617940199335,0.22285714285714286,0.19269102990033224,0.41554817275747513,58,3,3,18,0,0
kanda-000kao,5,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25,0,0,1,0,0,0
kanda-000mas,98,69,60,3,4,3,1,0,0,1,1,0,3,15,0.06666666666666667,0.10144927536231885,0.08333333333333333,0.18478260869565216,5,0,0,6,NA,NA
kanda-001dai,18,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0
kandak000yos,13,12,10,0,2,2,0,0,0,0,0,0,0,4,0.2,0.3333333333333333,0.2,0.5333333333333333,2,1,2,0,NA,NA
kaneda000kaz,40,6,5,0,1,1,0,0,0,0,0,0,0,2,0.2,0.16666666666666666,0.2,0.3666666666666667,1,0,0,1,0,0
kaneda000sus,61,90,86,6,16,11,3,1,1,5,0,0,2,15,0.18604651162790697,0.2,0.27906976744186046,0.4790697674418605,24,0,0,2,0,0
kaneda000tam,333,555,493,53,107,77,17,0,13,45,0,0,16,97,0.21703853955375255,0.22363636363636363,0.3306288032454361,0.5542651668817997,163,6,0,41,5,0
kaneda001mas,26,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
kaneda002mas,1053,2233,2054,160,406,307,53,8,38,177,7,3,99,367,0.1976630963972736,0.23267326732673269,0.28675754625121713,0.5194308135779498,589,39,12,57,NA,NA
kaneda003mas,825,3536,3047,500,861,634,136,56,35,320,102,49,440,274,0.2825730226452248,0.37535410764872523,0.39842468001312764,0.7737787876618529,1214,22,24,19,NA,NA
kanehi000tak,68,37,34,1,4,2,1,0,1,2,0,0,0,16,0.11764705882352941,0.10810810810810811,0.23529411764705882,0.34340222575516693,8,0,0,3,0,0
kanei-000yuk,48,38,34,6,4,4,0,0,0,0,1,3,0,3,0.11764705882352941,0.10526315789473684,0.11764705882352941,0.22291021671826625,4,3,0,4,0,0
kaneis000aki,177,227,198,7,24,18,4,1,1,12,0,0,4,78,0.12121212121212122,0.12334801762114538,0.16666666666666666,0.290014684287812,33,2,0,25,0,0
kaneko000kat,51,41,39,6,6,5,0,0,1,2,2,1,1,9,0.15384615384615385,0.175,0.23076923076923078,0.40576923076923077,9,2,0,0,1,0
kaneko000kaz,6,14,14,3,5,3,1,0,1,2,0,1,0,3,0.35714285714285715,0.35714285714285715,0.6428571428571429,1,9,1,0,0,0,0
kaneko000sei,324,497,457,60,103,70,17,5,11,40,11,6,37,129,0.22538293216630198,0.2857142857142857,0.35667396061269147,0.6423882463269772,163,4,2,1,0,0
kaneko000was,64,74,72,1,11,9,1,0,1,6,0,0,2,13,0.1527777777777778,0.17567567567567569,0.20833333333333334,0.38400900900900903,15,1,0,0,NA,NA
kaneko001chi,261,59,55,0,3,2,1,0,0,1,0,0,0,32,0.05454545454545454,0.05084745762711865,0.07272727272727272,0.12357473035439137,4,1,0,4,0,0
kaneko001kei,253,256,213,31,42,31,10,1,0,17,10,3,20,63,0.19718309859154928,0.26171875,0.2535211267605634,0.5152398767605634,54,3,5,18,0,1
kaneko001mak,1996,7149,6344,734,1627,1235,279,29,84,620,113,66,433,1086,0.25646279949558637,0.29559836872451134,0.3493064312736444,0.6449047999981558,2216,107,42,292,38,11
kaneko001yoh,39,74,71,4,8,3,2,0,3,10,1,0,2,28,0.11267605633802817,0.13513513513513514,0.2676056338028169,0.402740768937952,19,4,0,1,0,0
kaneko001yuj,983,3256,2895,384,702,578,81,24,19,215,222,88,245,542,0.24248704663212436,0.2989499691167387,0.3067357512953368,0.6056857204120756,888,39,21,77,18,1
kanemi000hid,738,1389,1301,93,325,229,61,8,27,154,11,6,68,172,0.24980784012298232,0.2894356005788712,0.3712528823981553,0.6606884829770265,483,31,7,6,7,12
kanemi000yas,18,13,9,3,0,0,0,0,0,0,1,0,4,1,0,0.3076923076923077,0,0.3076923076923077,0,0,0,0,0,0
kanemo000hid,42,11,10,1,3,3,0,0,0,1,0,0,1,2,0.3,0.36363636363636365,0.3,0.6636363636363636,3,0,0,0,0,0
kanemo001tom,2578,10431,8915,1430,2539,1586,440,37,476,1521,167,74,1368,1703,0.2848008973639933,0.3841104353702095,0.5026360067302299,0.8867464421004394,4481,96,72,4,72,98
kanemu000kiy,24,15,15,1,3,3,0,0,0,2,0,1,0,2,0.2,0.2,0.2,0.4,3,0,0,0,0,0
kanemu000yos,1262,4204,3643,466,939,636,158,18,127,487,34,23,430,752,0.2577545978589075,0.3342124190841525,0.415591545429591,0.7498039645137435,1514,85,25,73,33,17
kanemu001sat,78,29,25,0,1,1,0,0,0,0,0,0,0,11,0.04,0.034482758620689655,0.04,0.07448275862068965,1,0,0,4,0,0
kanesh000mot,188,180,161,8,21,14,4,0,3,15,0,0,9,59,0.13043478260869565,0.17222222222222222,0.2111801242236025,0.3834023464458247,34,1,1,9,0,0
kanesh000osa,19,27,25,4,2,1,0,0,1,2,0,0,0,8,0.08,0.14814814814814814,0.2,0.34814814814814815,5,2,2,0,0,0
kaneto001nor,55,56,47,1,4,4,0,0,0,1,0,0,2,15,0.0851063829787234,0.10714285714285714,0.0851063829787234,0.19224924012158054,4,1,0,7,0,0
kaneyo000hir,12,7,6,2,2,0,1,1,0,1,0,0,1,1,0.3333333333333333,0.42857142857142855,0.8333333333333334,1.2619047619047619,5,0,0,0,NA,NA
kanki-000tos,38,63,58,4,11,8,2,0,1,4,2,0,4,12,0.1896551724137931,0.23809523809523808,0.27586206896551724,0.5139573070607553,16,0,0,1,NA,NA
kanno-000tak,9,11,9,0,0,0,0,0,0,0,0,0,1,5,0,0.09090909090909091,0,0.09090909090909091,0,0,0,1,NA,NA
kano--000koi,4,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kano--000shi,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
kanoh-001kei,402,852,783,73,200,151,26,5,18,91,11,2,39,127,0.2554278416347382,0.2956419316843345,0.37037037037037035,0.6660123020547049,290,19,12,15,3,12
kanto-000tak,211,325,297,23,63,50,11,1,1,20,2,3,21,72,0.21212121212121213,0.26153846153846155,0.265993265993266,0.5275317275317275,79,4,1,6,0,1
kanzak000yas,20,9,9,2,1,1,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,1,0,0,0,NA,NA
kao---000jun,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kaoku-000ryu,112,190,180,16,33,18,7,0,8,17,0,0,7,63,0.18333333333333332,0.2222222222222222,0.35555555555555557,0.5777777777777777,64,5,2,0,1,0
kapler001gab,38,120,111,11,17,12,1,1,3,6,2,0,9,19,0.15315315315315314,0.21666666666666667,0.26126126126126126,0.47792792792792793,29,4,0,0,0,0
karaka001yuk,159,25,23,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0
karasa000nob,303,250,233,71,45,37,7,0,1,8,54,15,10,82,0.19313304721030042,0.236,0.23605150214592274,0.47205150214592273,55,1,4,3,0,0
karash001wat,132,17,17,0,1,1,0,0,0,0,0,0,0,10,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,1,0,0,0,0,0
karita000his,100,326,289,38,78,58,14,0,6,26,8,6,30,28,0.2698961937716263,0.3374233128834356,0.3806228373702422,0.7180461502536778,110,11,2,5,NA,NA
kasaha000kaz,617,1786,1564,168,449,345,74,17,13,196,28,10,187,102,0.2870843989769821,0.3612359550561798,0.38107416879795397,0.7423101238541338,596,29,7,22,NA,NA
kasaha000mas,56,63,54,4,11,10,1,0,0,4,0,0,2,10,0.2037037037037037,0.20634920634920634,0.2222222222222222,0.42857142857142855,12,0,0,7,NA,NA
kasaha000sho,60,13,10,0,1,0,0,1,0,2,0,0,2,1,0.1,0.23076923076923078,0.3,0.5307692307692308,3,1,0,1,0,0
kasaha001sho,57,71,64,0,6,5,1,0,0,1,0,0,1,34,0.09375,0.09859154929577464,0.109375,0.20796654929577463,7,0,0,6,0,0
kasai-000tak,18,2,2,0,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0
kasai-001min,345,115,95,8,11,7,3,0,1,4,0,0,9,54,0.11578947368421053,0.17391304347826086,0.17894736842105263,0.3528604118993135,17,1,0,11,0,0
kasais000tok,81,204,177,17,31,23,6,0,2,24,2,4,21,29,0.1751412429378531,0.25980392156862747,0.24293785310734464,0.5027417746759721,43,5,1,5,NA,NA
kasama000min,72,125,108,12,21,19,2,0,0,6,0,0,13,18,0.19444444444444445,0.272,0.21296296296296297,0.484962962962963,23,2,0,4,NA,NA
kasama000yuj,397,957,839,75,198,148,25,0,25,85,1,1,91,160,0.2359952324195471,0.31650893796004204,0.35518474374255066,0.6716936817025927,298,21,12,9,6,13
kasaya000shu,16,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kasaza000mas,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kase--001tos,159,151,126,28,17,15,2,0,0,9,2,0,18,41,0.1349206349206349,0.24666666666666667,0.15079365079365079,0.39746031746031746,19,1,2,4,1,1
kashim000tad,379,92,80,1,8,5,3,0,0,3,1,0,2,42,0.1,0.10869565217391304,0.1375,0.24619565217391304,11,1,0,10,0,0
kashiw000bun,284,750,662,107,199,137,37,7,18,125,21,7,76,76,0.30060422960725075,0.3689839572192513,0.459214501510574,0.8281984587298253,304,13,1,9,NA,NA
kashiw000jun,1642,6072,5353,775,1437,960,219,26,232,818,140,51,629,618,0.2684475994769288,0.34820836098208363,0.4490939660003736,0.7973023269824573,2404,146,33,13,44,31
kashiw000kun,11,4,4,0,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0
kashiw001tak,139,10,7,1,0,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,0,0,0,2,0,0
kaspar000len,51,80,74,4,7,6,1,0,0,1,0,0,0,19,0.0945945945945946,0.1,0.10810810810810811,0.20810810810810812,8,1,1,5,NA,NA
kasuga000ipp,13,6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kasuga000sho,76,109,93,24,19,16,2,0,1,6,2,1,7,13,0.20430107526881722,0.25688073394495414,0.25806451612903225,0.5149452500739864,24,0,2,7,0,0
kasuya000yos,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
katada000ken,21,28,28,1,3,2,1,0,0,1,0,0,0,10,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.25,4,0,0,0,0,0
kataga000yos,13,13,12,2,3,3,0,0,0,1,0,0,0,3,0.25,0.3076923076923077,0.25,0.5576923076923077,3,0,1,0,0,0
katahi000shu,1503,4729,4309,492,1181,823,169,13,176,601,10,17,326,394,0.27407751218380133,0.3331914893617021,0.4418658621489905,0.7750573515106927,1904,104,59,6,29,11
katahi001tet,28,48,44,5,15,12,2,0,1,11,0,1,1,11,0.3409090909090909,0.3617021276595745,0.45454545454545453,0.816247582205029,20,1,1,1,1,0
kataok000dai,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
kataok000hir,243,446,393,35,94,68,16,4,6,68,2,2,49,57,0.23918575063613232,0.32134831460674157,0.3460559796437659,0.6674042942505074,136,10,0,3,NA,NA
kataok000ken,33,10,9,0,2,2,0,0,0,0,0,0,0,5,0.2222222222222222,0.2,0.2222222222222222,0.4222222222222222,2,0,0,1,0,0
kataok000mit,174,445,395,36,96,64,17,0,15,44,0,0,29,90,0.2430379746835443,0.2898876404494382,0.4,0.6898876404494383,158,3,4,17,0,1
kataok000set,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kataok000shi,716,1560,1439,109,344,261,42,5,36,139,6,9,93,215,0.23905489923558026,0.28406169665809766,0.3502432244614315,0.6343049211195292,504,50,5,19,4,9
kataok000sho,255,741,697,71,141,101,19,8,13,52,43,11,33,118,0.20229555236728838,0.242914979757085,0.3084648493543759,0.5513798291114609,215,8,6,5,NA,NA
kataok001ats,1569,6180,5272,714,1425,972,269,20,164,717,35,27,800,1099,0.2702959028831563,0.36627055184763146,0.4222306525037936,0.788501204351425,2226,83,25,46,37,20
kataok001hir,29,13,12,0,2,2,0,0,0,0,0,0,1,3,0.16666666666666666,0.23076923076923078,0.16666666666666666,0.39743589743589747,2,1,0,0,0,0
kataok001sho,13,24,24,2,3,2,1,0,0,0,0,0,0,11,0.125,0.125,0.16666666666666666,0.29166666666666663,4,0,0,0,0,0
kataok001yas,1208,4979,4413,619,1174,892,189,27,66,389,320,94,278,526,0.2660321776569227,0.3015136226034309,0.365964196691593,0.6674778192950239,1615,76,42,222,24,7
katase000kiy,124,107,91,0,10,8,1,1,0,6,0,0,2,34,0.10989010989010989,0.11214953271028037,0.14285714285714285,0.25500667556742324,13,1,0,14,0,0
kataya000yos,25,43,36,4,7,6,1,0,0,2,0,1,3,9,0.19444444444444445,0.23809523809523808,0.2222222222222222,0.4603174603174603,8,0,0,3,1,0
kataya000yuy,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
kataya001hir,77,5,4,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,0,0,0,0,0,0
