id,game,PA,AB,run,hit,single,double,triple,HR,RBI,steal,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
aguila001chr,14,48,42,0,4,4,0,0,0,0,0,0,6,16,0.09523809523809523,0.20833333333333334,0.09523809523809523,0.3035714285714286,4,3,0,0,0,0
ai----000eij,125,61,53,5,10,8,1,0,1,2,0,0,0,12,0.18867924528301888,0.16393442622950818,0.2641509433962264,0.4280853696257346,14,0,0,8,0,0
ai----000tos,146,255,232,12,49,42,6,0,1,15,4,4,19,38,0.21120689655172414,0.27450980392156865,0.25,0.5245098039215687,58,7,2,2,0,NA
aiba--000yos,600,1058,964,85,227,168,36,5,18,87,15,16,78,137,0.2354771784232365,0.2903225806451613,0.3392116182572614,0.6295341989024228,327,35,1,11,4,0
aida--000ter,279,230,196,11,25,20,4,0,1,10,0,0,10,76,0.12755102040816327,0.15217391304347827,0.16326530612244897,0.3154392191659272,32,1,0,24,0,0
aida--000toy,111,162,145,14,20,18,2,0,0,5,3,5,15,42,0.13793103448275862,0.2236024844720497,0.15172413793103448,0.3753266224030842,22,4,1,0,1,0
aida--001yus,34,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
aihara000mam,26,50,48,3,8,7,1,0,0,1,2,0,2,7,0.16666666666666666,0.2,0.1875,0.3875,9,2,0,0,NA,NA
aikawa000hid,69,67,63,4,13,12,1,0,0,2,0,0,1,26,0.20634920634920634,0.208955223880597,0.2222222222222222,0.4311774461028192,14,1,0,3,0,0
aikawa000sus,204,412,391,39,74,46,9,2,17,43,2,2,17,105,0.18925831202046037,0.22493887530562348,0.35294117647058826,0.5778800517762117,138,9,1,0,3,1
aikawa001ryo,314,807,736,70,181,110,42,1,28,95,12,9,43,179,0.24592391304347827,0.2860696517412935,0.41983695652173914,0.7059066082630326,309,14,6,19,3,2
aikawa002ryo,1508,4905,4429,383,1150,894,177,10,69,475,12,10,305,803,0.25965229171370513,0.30603004733484257,0.3508692707157372,0.6568993180505798,1554,105,32,93,46,63
aikoh-001tak,1466,4749,4244,491,1142,774,245,15,108,513,52,33,380,774,0.2690857681432611,0.3282410354339062,0.41022620169651275,0.738467237130419,1741,82,25,64,36,18
aikyoh001his,16,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
aimoto000kaz,46,82,74,6,17,14,1,0,2,6,0,1,6,13,0.22972972972972974,0.2804878048780488,0.32432432432432434,0.6048121292023731,24,0,0,2,0,1
aizawa000mas,177,28,26,0,0,0,0,0,0,0,0,0,1,9,0,0.03571428571428571,0,0.03571428571428571,0,0,0,1,0,0
aizawa000sus,163,80,73,21,14,9,5,0,0,4,8,3,1,14,0.1917808219178082,0.1875,0.2602739726027397,0.4477739726027397,19,1,0,6,NA,NA
aizawa001tsu,1005,3042,2660,265,675,476,121,6,72,342,5,5,257,518,0.25375939849624063,0.33234028467394905,0.3849624060150376,0.7173026906889867,1024,87,72,32,21,24
akada-000ryu,5,8,8,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0
akada-001sho,913,2855,2525,357,643,493,99,21,30,211,75,31,218,578,0.25465346534653466,0.3066901408450704,0.3461386138613861,0.6528287547064565,874,34,10,87,15,2
akagaw001kat,75,93,85,1,7,6,1,0,0,4,0,0,2,41,0.08235294117647059,0.0967741935483871,0.09411764705882353,0.19089184060721062,8,1,0,6,0,0
akagi-000ken,228,344,324,24,64,49,11,1,3,20,4,2,16,86,0.19753086419753085,0.239067055393586,0.2654320987654321,0.5044991541590181,86,5,2,1,1,1
akahan000yos,39,39,33,6,5,4,0,0,1,3,0,0,1,17,0.15151515151515152,0.21052631578947367,0.24242424242424243,0.4529505582137161,8,0,2,2,1,0
akahor000dai,6,9,8,0,1,0,1,0,0,1,0,0,0,3,0.125,0.125,0.25,0.375,2,0,0,0,1,0
akahos000yuj,43,41,35,0,3,2,1,0,0,0,0,0,2,21,0.08571428571428572,0.12195121951219512,0.11428571428571428,0.2362369337979094,4,0,0,4,0,0
akahos001nor,1127,4962,4330,698,1276,1120,117,36,3,215,381,88,426,664,0.29468822170900694,0.3567961165048544,0.34041570438799074,0.6972118208928451,1474,38,62,126,18,4
akai--000kiy,177,255,232,16,46,41,4,0,1,19,0,3,16,36,0.19827586206896552,0.24705882352941178,0.22844827586206898,0.4755070993914807,53,2,1,6,0,0
akaike000aki,15,6,5,2,1,1,0,0,0,0,1,0,1,4,0.2,0.3333333333333333,0.2,0.5333333333333333,1,0,0,0,0,0
akama-000ken,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akamat000ryo,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akamat001mas,867,1842,1618,283,403,312,62,8,21,144,136,36,92,287,0.24907292954264523,0.28321487151448876,0.3362175525339926,0.6194324240484814,544,16,23,96,13,0
akamin000ken,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
akamin001gin,1240,4798,4274,421,1239,1020,178,13,28,471,30,24,415,451,0.28989237248479177,0.3525587248322148,0.35727655591951335,0.7098352807517281,1527,102,27,52,30,17
akasak001kaz,42,59,53,2,14,12,2,0,0,8,2,0,6,10,0.2641509433962264,0.3389830508474576,0.3018867924528302,0.6408698433002877,16,0,0,0,0,0
akashi000koi,149,376,340,39,76,63,8,5,0,15,11,9,17,34,0.2235294117647059,0.2526595744680851,0.27647058823529413,0.5291301627033793,94,6,2,17,NA,NA
akashi001ken,1030,2929,2597,322,653,509,90,37,17,216,93,38,207,555,0.25144397381594147,0.3009275163174167,0.33423180592991913,0.6351593222473358,868,31,16,91,18,6
akiba-000kei,28,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
akihir000yut,122,440,407,36,111,81,18,2,10,41,0,1,26,79,0.2727272727272727,0.3180778032036613,0.4004914004914005,0.7185692036950617,163,9,2,2,3,2
akimit000shi,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akimot000tad,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
akimot000yus,491,293,271,7,22,20,1,0,1,6,0,0,5,110,0.08118081180811808,0.09215017064846416,0.0959409594095941,0.18809113005805828,26,2,0,17,0,0
akimot001koh,573,1220,1069,80,230,166,44,4,16,108,9,5,105,248,0.21515434985968196,0.2801652892561983,0.3086997193638915,0.5888650086200898,330,20,4,32,10,18
akimur000nor,178,26,22,0,2,2,0,0,0,0,0,0,0,13,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.16783216783216784,2,1,0,4,0,0
akita-000hid,35,40,36,2,5,5,0,0,0,0,0,0,2,14,0.1388888888888889,0.2,0.1388888888888889,0.3388888888888889,5,0,1,1,0,0
akiyam000nob,645,1011,913,38,119,85,25,3,6,62,0,2,18,298,0.1303395399780942,0.136318407960199,0.18400876232201532,0.32032717028221436,168,16,0,74,6,0
akiyam000shi,113,137,127,16,22,15,4,1,2,8,4,2,7,43,0.1732283464566929,0.21897810218978103,0.2677165354330709,0.4866946376228519,34,3,1,2,0,0
akiyam000sho,1366,5983,5263,836,1565,1098,277,65,125,577,120,68,572,917,0.29735892076762305,0.3689157435381,0.44594337830134906,0.8148591218394491,2347,61,61,62,25,17
akiyam001koj,2189,9063,7997,1231,2157,1302,377,41,437,1312,303,116,910,1712,0.26972614730523947,0.34903354810042214,0.49105914718019256,0.8400926952806147,3927,191,75,20,61,43
akiyam001tak,134,251,210,12,30,25,3,0,2,13,0,0,7,96,0.14285714285714285,0.14741035856573706,0.18571428571428572,0.33312464428002275,39,1,0,34,0,0
akiyam002tak,34,40,39,1,7,7,0,0,0,1,0,0,1,8,0.1794871794871795,0.2,0.1794871794871795,0.37948717948717947,7,0,0,0,NA,NA
akiyos000ryo,166,6,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.16666666666666666,0.25,0.41666666666666663,1,0,0,2,0,0
akune-001kok,161,337,303,40,70,57,8,2,3,18,2,2,18,93,0.23102310231023102,0.27976190476190477,0.30033003300330036,0.5800919377652052,91,3,6,9,1,0
akutsu000yos,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
albers001and,19,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
alcant001rau,24,12,9,0,1,1,0,0,0,1,0,0,0,5,0.1111111111111111,0.08333333333333333,0.1111111111111111,0.19444444444444442,1,0,0,3,0,0
alcant003ari,138,410,376,41,78,48,12,0,18,38,5,6,30,128,0.2074468085106383,0.26405867970660146,0.3829787234042553,0.6470374031108568,144,4,0,3,1,1
alexan006rob,13,17,16,0,3,3,0,0,0,2,0,0,1,5,0.1875,0.23529411764705882,0.1875,0.4227941176470588,3,0,0,0,0,0
alfonz003edg,21,46,41,3,6,4,0,0,2,4,0,0,4,10,0.14634146341463414,0.2222222222222222,0.2926829268292683,0.5149051490514904,12,1,0,0,1,0
allen-001kim,125,430,381,64,101,74,17,5,5,26,34,14,29,30,0.2650918635170604,0.32400932400932403,0.3753280839895013,0.6993374079988253,143,6,9,10,1,1
allen-002bra,12,36,35,4,6,5,1,0,0,1,0,0,1,13,0.17142857142857143,0.19444444444444445,0.2,0.3944444444444445,7,0,0,0,0,0
allen-002rod,246,872,779,102,224,143,34,2,45,133,6,4,76,151,0.28754813863928114,0.3579676674364896,0.5096277278562259,0.8675953952927156,397,21,10,1,6,5
